sym,side,live_gain_pct,live_bh_pct,live_delta,live_gain_per_mo,live_dd,live_trades,live_window_days,live_source,vec_gain_pct,vec_bh_pct,vec_delta_per_mo,vec_gain_per_mo,vec_dd,vec_tim,vec_trades,vec_window_days,vec_bars,entry_overrides,exit_overrides,reentry_overrides
DHR,LONG,PENDING_12h,,,,,,,,,,,,,,,,,,,
DINO,LONG,7873.11563474,92.61365891,7780.50197584,655.7603539719931,0.00423578,90,365.46527778,autonomous_direct_v8,-0.2383,47.6501,-7.8089,-0.0389,6.02,0.8,73,184.0,52985,,,
DIS,SHORT,PENDING_12h,,,,,,,,3.96,20.5725,-1.605,0.3826,1.49,0.91,74,310.5,89430,,,
EXEL,LONG,797.32749499,10.36789818,786.95959681,360.23226638212395,0.00730775,9,67.375,autonomous_direct_v8,-0.3031,10.3868,-20.9435,-0.5938,0.43,0.82,6,15.3,4410,,WT_DC_EXIT_STALE_MAX_S=900,
FANG,LONG,5838.3872396,42.50255127,5795.88468833,486.42888133763967,0.2588512,67,365.35763889,autonomous_direct_v8,-2.6016,6.0403,-1.2443,-0.3746,5.4,1.12,82,208.4,60005,,EXIT_STRUCT_BREAK_5M_ENABLED=True,
FCN,SHORT,PENDING_12h,,,,,,,,2.51,-15.3718,35.7636,5.02,0.0,0.83,5,15.0,4119,,,
FCX,SHORT,PENDING_12h,,,,,,,,9.2475,-39.8256,4.5079,0.8495,1.81,0.7,82,326.6,94055,LIVE_ENTRY_ENGINE_WT_ENABLED=True,,
FDX,SHORT,PENDING_12h,,,,,,,,,,,,,,,,,,,
FIVN,LONG,73.56531237,-21.69199715,95.25730952,6.12494890790984,13.27698946,177,365.60763889,autonomous_direct_v8,8.7484,-63.6138,10.631,1.2853,2.92,0.68,85,204.2,58810,,BB_RECOVERY_EXIT_TOLERANCE_PCT_TRADIER=0.45,
FNV,SHORT,PENDING_12h,,,,,,,,3.2266,-87.3096,15.04,0.536,3.24,0.73,51,180.6,52010,,,
GDX,SHORT,PENDING_12h,,,,,,,,2.5043,-151.7387,12.0359,0.1954,2.31,0.64,70,384.5,110724,REENTRY_COOLDOWN_S=1.0,RZ_DIV_EXIT_ENABLED=False;RZ_MFI_EXIT=42.5;TRADIER_MI_EXIT_ENABLED_TRADIER=True,REENTRY_COOLDOWN_S=1.0
GE,LONG,PENDING_12h,,,,,,,,2.9166,155.5528,-17.0576,0.3259,27.59,44.23,4791,268.4,77313,REENTRY_BREAKOUT_ENABLED=False,,REENTRY_BREAKOUT_ENABLED=False
GILD,SHORT,PENDING_12h,,,,,,,,50.7321,-78.9865,16.8956,6.6078,18.8,44.82,4068,230.3,66335,,,
GLD,LONG,PENDING_12h,,,,,,,,167.635,85.2262,6.427,13.0737,8.69,60.92,4812,384.7,110785,LIVE_ENTRY_ENGINE_HTF_ENABLED=False,SATOSHIT_EXIT_LONG_RSI_MIN_TRADIER=68.75,
GME,SHORT,PENDING_12h,,,,,,,,,,,,,,,,,,,
GM,LONG,4580.86107281,54.85213257,4526.00894024,381.3347613174074,0.03158604,47,365.66666667,autonomous_direct_v8,12.6403,87.2577,-8.2902,1.4044,0.92,1.13,92,270.0,77766,,,
GOOGL,LONG,4800.9276237,63.52797226,4737.39965144,399.6504535728294,0.04236633,51,365.67013889,autonomous_direct_v8_path_probe,289.6808,112.4709,13.4001,21.9048,3.26,56.97,5463,396.7,114260,LIVE_ENTRY_ENGINE_MIN_SCORE=0.625,BREAKEVEN_EXIT_REQUIRE_WT15M_STRUCTURE=False,
HAO,SHORT,PENDING_12h,,,,,,,,0.7266,99.8807,-77.3327,0.5667,9.91,0.66,37,38.5,11078,MTF_ARMED_ENTRY_SKIP_SHORT=True,,
HII,SHORT,PENDING_12h,,,,,,,,-5.6198,2.385,-1.3268,-0.9315,7.46,0.78,42,181.0,52126,,EXIT_IBS_EXHAUSTION_ENABLED=False,
HL,SHORT,PENDING_12h,,,,,,,,,,,,,,,,,,,
IBIT,SHORT,PENDING_12h,,,,,,,,340.0615,10.5644,24.4043,25.1867,4.32,50.44,6425,405.0,116654,,HTF_W_REVERSAL_EXIT_TRADIER_REQUIRE_D=True,
IBM,SHORT,PENDING_12h,,,,,,,,,,,,,,,,,,,
INTC,LONG,5486.77862461,290.09096169,5196.68766293,456.74372493229544,0.51946617,55,365.67013889,autonomous_direct_v8,22.5799,118.3575,-7.1609,1.6882,1.51,0.59,86,401.2,115560,TRADIER_REENTRY_RZ_BLOCK_ENABLED=True,STRUCTURAL_EXIT_GATE_ENABLED=True,TRADIER_REENTRY_RZ_BLOCK_ENABLED=True
JNJ,LONG,PENDING_12h,,,,,,,,,,,,,,,,,,,
JPM,LONG,PENDING_12h,,,,,,,,,,,,,,,,,,,
KGC,SHORT,PENDING_12h,,,,,,,,6.625,-317.8138,31.994,0.6533,1.74,0.4,56,304.2,87615,,,
LAC,SHORT,PENDING_12h,,,,,,,,25.8792,58.0296,-2.8331,2.2805,1.57,0.55,99,340.4,98047,,EXIT_STRUCT_DC_BREAK_ENABLED=True,
LDOS,SHORT,PENDING_12h,,,,,,,,-2.5972,13.9799,-2.7346,-0.4284,4.03,0.76,55,181.9,52376,,DYNAMIC_SCORE_COUNTER_EXIT_THRESHOLD=30.0,
LEXX,LONG,4717.85598502,-21.03296771,4738.88895273,1163.4679574741883,0.24032455,48,123.43402778,autonomous_direct_v8,-3.0323,-21.0338,22.0614,-3.7162,8.71,0.2,7,24.5,7050,TF_FOCUS_ENTRY_HARD_GATE=False;MI_ENTRY_EXHAUST_BONUS_TRADIER=8,,
LEXX,SHORT,PENDING_12h,,,,,,,,-5.441,21.0338,-32.4457,-6.6681,6.31,0.23,8,24.5,7050,,RZ_EXIT_ENABLED=True;BREAKEVEN_EXIT_AFTER_BARS_TF=1h;RZ_DIV_EXIT_ENABLED=False,
LLY,LONG,6645.4576943,47.91839355,6597.53930075,553.4600655255833,1.09950256,77,365.49652778,autonomous_direct_v8,-3.2111,54.6473,-6.1105,-0.3391,6.07,0.61,82,284.1,81809,,,
LNG,LONG,7108.20337845,20.33533691,7087.86804154,591.9768656972925,0.06762491,79,365.51041667,autonomous_direct_v8,246.158,68.7508,25.6879,35.6428,6.45,50.86,3259,207.2,59670,LR_BAND_ENTRY_ENABLED=False;DELTA_EXIT_REENTRY_COOLDOWN_MIN=67.5,DELTA_EXIT_REENTRY_COOLDOWN_MIN=67.5,DELTA_EXIT_REENTRY_COOLDOWN_MIN=67.5
LRCX,LONG,4560.55064897,207.945532,4352.60511698,379.6440157339508,0.06383444,68,365.66666667,autonomous_direct_v8,-15.9496,209.9637,-22.0855,-1.5592,19.28,1.17,184,306.9,88379,ABLATION_DISABLE_REENTRY_ENFORCE=True,EXIT_HARD_DROP_5M_ENABLED=True;EXIT_SCORER_MIN_CONDITIONS=5,ABLATION_DISABLE_REENTRY_ENFORCE=True
LSCC,LONG,1887.71796843,-15.36394531,1903.08191374,982.725348504964,0.03960169,19,58.47222222,autonomous_direct_v8,0.6001,-15.5959,32.392,1.2002,0.0,0.07,1,15.0,4166,,,
MA,LONG,PENDING_12h,,,,,,,,,,,,,,,,,,,
