switch,candidate,filter,opt,baseline,gain,delta,trades,valid,F_filling,recipe
BTC_DIVERGENCE_EXIT_AGAINST,0.5,,,-2.0853,-2.0853,0,0,False,False,
BTC_DIVERGENCE_EXIT_AGAINST,1.0,,,-2.0853,-2.0853,0,0,False,False,
BTC_DIVERGENCE_EXIT_AGAINST,2.0,,,-2.0853,-2.0853,0,0,False,False,
DELTA_EXIT_DC_FLOOR,False,,,-2.0853,-2.0853,0,0,False,False,
DELTA_EXIT_DC_FLOOR,True,,,-2.0853,-2.0853,0,0,False,False,
E_1_WT_EXIT_USE_DELTA_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
E_1_WT_EXIT_USE_DELTA_ENABLED,True,MANDATORY_REENTRY_WT_FILTER_TF_MODE,15m_only,-2.0853,-1.6306,0.4547,10,True,True,E_1_WT_EXIT_USE_DELTA_ENABLED=True + MANDATORY_REENTRY_WT_FILTER_TF_MODE=15m_only + BB_WT_TF=15m + GR=18 + BB_RECOVERY_FILTER_TF=OFF + DC_BREAK_FILTER_TF=1h
E_3_USE_WT_STRUCTURE_EXIT_MODE,0,,,-2.0853,-2.0853,0,0,False,False,
E_3_USE_WT_STRUCTURE_EXIT_MODE,0.5,,,-2.0853,-2.0853,0,0,False,False,
E_3_USE_WT_STRUCTURE_EXIT_MODE,1.0,,,-2.0853,-2.0853,0,0,False,False,
E_3_USE_WT_STRUCTURE_EXIT_MODE,2.0,,,-2.0853,-2.0853,0,0,False,False,
HARD_BREAKEVEN_FLOOR_ENABLED,False,,,-2.0853,-2.0853,0,0,False,False,
HARD_BREAKEVEN_FLOOR_ENABLED,True,,,-2.0853,-2.0853,0,0,False,False,
HARD_BREAKEVEN_MIN_PEAK_PCT,0.25,,,-2.0853,-2.0853,0,0,False,False,
