field,historical_venues,stocks_1yr_metric_count,crypto_1yr_metric_count,historical_delta_min,historical_delta_max,current_classification,current_connection_sites,reuse_decision,engine_replay_required,inventory_engine_sha256
PARTIAL_PROFIT_LOCK_FRAC,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,CONNECTED_BOTH,"[""v12_exit_reduce_gap_batch6:data/reports/V12_EXIT_REDUCE_STOP_GAP_BATCH6_CONTRACT.csv""]",CURRENTLY_CONNECTED_NO_REIMPLEMENT,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
PARTIAL_PROFIT_LOCK_GAIN_PCT,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
PEAK_GIVEBACK_FIXED_DROP_PCT,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
PEAK_GIVEBACK_FIXED_MIN_PEAK_PCT,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
PEAK_GIVEBACK_FIXED_PCT_ENABLED,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
PEAK_PROTECT_ENABLED,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
PEAK_PROTECT_REQUIRE_GAIN,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
PENNY_STOCK_LONG_BLOCK_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
PRICE_ACTION_LB,"CRYPTO_1YR,STOCKS_1YR",31,133,-1.0,4253.2544,UNCONNECTED,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,4fc946b596d2095932637bc191f64c85d4bcd7d107c4598f7f20a2e00c447cf8
PROXIMITY_TOP_GATE_ENABLED,CRYPTO_1YR,,133,-1.0,4253.2544,ABSENT_FROM_CURRENT_INVENTORY,,HISTORICAL_RESULT_CURRENT_REPLAY_REQUIRED,yes,
